South West Cape  47.277S 167.463E 103m  NZST [UTC+12],Dir  °T,Speed  kt,Max Gust Hourly kt,Vis,Weather,Clouds,Temp  °C,DewPt  °C,RH  %,MSL Press  hPa,Rain Hourly mm,Radn Hourly MJ/m²
01-Jan-1993 12:00,280.0,21.0,29.0,    ,          ,,12.0,,0.0,,0.0,0.7
01-Jan-1993 13:00,230.0,15.0,26.0,    ,          ,,12.0,,99.0,,0.2,0.88
01-Jan-1993 14:00,270.0,13.0,18.0,    ,          ,,13.0,,87.0,,0.0,1.27
01-Jan-1993 15:00,250.0,17.0,21.0,    ,          ,,15.0,,69.0,,0.0,2.04
01-Jan-1993 16:00,260.0,15.0,22.0,    ,          ,,15.0,,66.0,,0.0,2.15
01-Jan-1993 17:00,250.0,14.0,18.0,    ,          ,,15.0,,66.0,,0.0,1.87
01-Jan-1993 18:00,250.0,10.0,16.0,    ,          ,,15.0,,66.0,,0.0,1.58
01-Jan-1993 19:00,250.0,8.0,13.0,    ,          ,,14.0,,69.0,,0.0,1.13
01-Jan-1993 20:00,270.0,9.0,11.0,    ,          ,,12.0,,77.0,,0.0,0.32
01-Jan-1993 21:00,270.0,6.0,10.0,    ,          ,,11.0,,78.0,,0.0,0.02
01-Jan-1993 22:00,270.0,6.0,8.0,    ,          ,,11.0,,82.0,,0.0,0.0
01-Jan-1993 23:00,210.0,7.0,12.0,    ,          ,,11.0,,87.0,,0.0,0.0
02-Jan-1993 00:00,200.0,5.0,7.0,    ,          ,,11.0,,89.0,,0.0,0.0
02-Jan-1993 01:00,200.0,7.0,8.0,    ,          ,,10.0,,87.0,,0.0,0.0
02-Jan-1993 02:00,220.0,9.0,13.0,    ,          ,,10.0,,82.0,,0.0,0.0
02-Jan-1993 03:00,180.0,5.0,11.0,    ,          ,,10.0,,76.0,,0.0,0.0
02-Jan-1993 04:00,220.0,4.0,8.0,    ,          ,,10.0,,79.0,,0.0,0.0
02-Jan-1993 05:00,190.0,8.0,12.0,    ,          ,,10.0,,78.0,,0.0,0.0
02-Jan-1993 06:00,190.0,7.0,11.0,    ,          ,,10.0,,73.0,,0.0,0.01
02-Jan-1993 07:00,210.0,7.0,11.0,    ,          ,,10.0,,70.0,,0.0,0.12
