serie,forecast_mean,real
Milford_Sound,12.991002082824707,13.0
Milford_Sound,12.882305145263672,12.0
Milford_Sound,12.966252326965332,11.0
Milford_Sound,13.22825813293457,11.0
Milford_Sound,13.63746452331543,10.0
Milford_Sound,14.1708345413208,10.0
Milford_Sound,14.799825668334961,10.0
Milford_Sound,15.47385025024414,11.0
Milford_Sound,16.15481185913086,11.0
Milford_Sound,16.79498863220215,11.0
Milford_Sound,17.35181999206543,12.0
Milford_Sound,17.796226501464844,12.0
Milford_Sound,18.07583236694336,12.0
Milford_Sound,18.1865234375,12.0
Milford_Sound,18.1184139251709,13.0
Milford_Sound,17.872074127197266,13.0
Milford_Sound,17.463008880615234,13.0
Milford_Sound,16.92099380493164,12.0
Milford_Sound,16.28118896484375,12.0
Milford_Sound,15.59619140625,12.0
Milford_Sound,14.910839080810547,12.0
Milford_Sound,14.277552604675293,12.0
Milford_Sound,13.726351737976074,11.0
Milford_Sound,13.285710334777832,15.0
Milford_Sound,12.983926773071289,15.0
Milford_Sound,12.849397659301758,15.0
Milford_Sound,12.919175148010254,14.0
Milford_Sound,13.160404205322266,14.0
Milford_Sound,13.55880355834961,13.0
Milford_Sound,14.064498901367188,13.0
Milford_Sound,14.660091400146484,13.0
Milford_Sound,15.305755615234375,14.0
Milford_Sound,15.953780174255371,16.0
Milford_Sound,16.558069229125977,18.0
Milford_Sound,17.084592819213867,20.0
Milford_Sound,17.514509201049805,20.0
Milford_Sound,17.80221939086914,21.0
Milford_Sound,17.929611206054688,21.0
Milford_Sound,17.900890350341797,21.0
Milford_Sound,17.676219940185547,21.0
Milford_Sound,17.27983856201172,21.0
Milford_Sound,16.752609252929688,20.0
Milford_Sound,16.152629852294922,19.0
Milford_Sound,15.509178161621094,17.0
Milford_Sound,14.8560791015625,15.0
Milford_Sound,14.237136840820312,14.0
Milford_Sound,13.702583312988281,13.0
Milford_Sound,13.281059265136719,12.0
Milford_Sound,12.982719421386719,11.0
Milford_Sound,12.84756851196289,10.0
Milford_Sound,12.884835243225098,11.0
Milford_Sound,13.092267036437988,8.0
Milford_Sound,13.4437255859375,7.0
Milford_Sound,13.91663932800293,6.0
Milford_Sound,14.459230422973633,6.0
Milford_Sound,15.043716430664062,8.0
Milford_Sound,15.645893096923828,12.0
Milford_Sound,16.210208892822266,12.0
Milford_Sound,16.71770668029785,13.0
Milford_Sound,17.109046936035156,14.0
Milford_Sound,17.373376846313477,17.0
Milford_Sound,17.48394012451172,19.0
Milford_Sound,17.443721771240234,18.0
Milford_Sound,17.258323669433594,19.0
Milford_Sound,16.924152374267578,18.0
